timestamp,panel_id,irradiance_w_m2,power_generated_kw,consumption_kw,net_energy_kw,battery_soc_kwh,temperature_c
2025-01-01 00:00:00,Panel_A,0.0,0.0025,0.2464,-0.2439,4.7561,30.8
2025-01-01 00:00:00,Panel_B,0.0,0.0,0.1312,-0.1312,4.6249,22.8
2025-01-01 00:00:00,Panel_C,0.0,0.0079,0.1041,-0.0962,4.5287,37.5
2025-01-01 01:00:00,Panel_A,0.0,0.0038,0.2665,-0.2627,4.266,23.8
2025-01-01 01:00:00,Panel_B,0.0,0.0,0.1608,-0.1608,4.1052,29.4
2025-01-01 01:00:00,Panel_C,0.0,0.0,0.1864,-0.1864,3.9188,25.2
2025-01-01 02:00:00,Panel_A,0.0,0.0,0.1584,-0.1584,3.7603,26.6
2025-01-01 02:00:00,Panel_B,0.0,0.0016,0.1912,-0.1896,3.5707,34.1
2025-01-01 02:00:00,Panel_C,0.0,0.0003,0.2185,-0.2181,3.3526,20.8
2025-01-01 03:00:00,Panel_A,0.0,0.0,0.2215,-0.2215,3.131,23.1
2025-01-01 03:00:00,Panel_B,0.0,0.0,0.2368,-0.2368,2.8942,27.9
2025-01-01 03:00:00,Panel_C,0.0,0.0,0.1244,-0.1244,2.7698,28.9
2025-01-01 04:00:00,Panel_A,0.0,0.0041,0.1623,-0.1582,2.6116,29.4
2025-01-01 04:00:00,Panel_B,0.0,0.0,0.2093,-0.2093,2.4022,23.3
2025-01-01 04:00:00,Panel_C,0.0,0.0037,0.1177,-0.114,2.2882,23.5
2025-01-01 05:00:00,Panel_A,0.0,0.0009,0.109,-0.1082,2.18,25.9
2025-01-01 05:00:00,Panel_B,0.0,0.0,0.2657,-0.2657,1.9143,26.4
2025-01-01 05:00:00,Panel_C,0.0,0.0,0.1562,-0.1562,1.7581,29.8
2025-01-01 06:00:00,Panel_A,200.26,0.0702,0.5522,-0.482,1.2761,37.8
2025-01-01 06:00:00,Panel_B,200.26,0.0667,0.5039,-0.4372,0.8389,34.7
2025-01-01 06:00:00,Panel_C,200.26,0.0792,0.9948,-0.9156,0.0,33.1
2025-01-01 07:00:00,Panel_A,246.4,0.0872,2.3631,-2.2759,0.0,31.2
2025-01-01 07:00:00,Panel_B,246.4,0.0838,1.811,-1.7271,0.0,25.9
2025-01-01 07:00:00,Panel_C,246.4,0.0927,2.2296,-2.1369,0.0,31.5
2025-01-01 08:00:00,Panel_A,412.76,0.1536,1.6196,-1.466,0.0,32.8
2025-01-01 08:00:00,Panel_B,412.76,0.1463,2.271,-2.1247,0.0,28.9
2025-01-01 08:00:00,Panel_C,412.76,0.1645,2.0227,-1.8582,0.0,27.7
2025-01-01 09:00:00,Panel_A,558.41,0.1995,1.8144,-1.6148,0.0,29.2
2025-01-01 09:00:00,Panel_B,558.41,0.1943,1.9104,-1.716,0.0,33.6
2025-01-01 09:00:00,Panel_C,558.41,0.214,1.7288,-1.5148,0.0,21.4
2025-01-01 10:00:00,Panel_A,639.07,0.2276,1.1508,-0.9232,0.0,34.5
2025-01-01 10:00:00,Panel_B,639.07,0.2283,1.0626,-0.8343,0.0,23.4
2025-01-01 10:00:00,Panel_C,639.07,0.2445,1.1248,-0.8803,0.0,29.7
2025-01-01 11:00:00,Panel_A,732.9,0.2622,0.6596,-0.3973,0.0,27.7
2025-01-01 11:00:00,Panel_B,732.9,0.258,0.5049,-0.2469,0.0,29.2
2025-01-01 11:00:00,Panel_C,732.9,0.2798,0.7922,-0.5124,0.0,24.0
2025-01-01 12:00:00,Panel_A,782.86,0.2778,1.16,-0.8822,0.0,25.8
2025-01-01 12:00:00,Panel_B,782.86,0.2834,0.7545,-0.4711,0.0,37.5
2025-01-01 12:00:00,Panel_C,782.86,0.2984,1.1737,-0.8754,0.0,24.5
2025-01-01 13:00:00,Panel_A,672.07,0.2418,0.6994,-0.4576,0.0,20.7
2025-01-01 13:00:00,Panel_B,672.07,0.2355,0.536,-0.3005,0.0,25.0
2025-01-01 13:00:00,Panel_C,672.07,0.2677,1.1358,-0.8681,0.0,24.3
2025-01-01 14:00:00,Panel_A,677.76,0.2381,1.19,-0.9518,0.0,24.4
2025-01-01 14:00:00,Panel_B,677.76,0.2429,0.6663,-0.4234,0.0,33.1
2025-01-01 14:00:00,Panel_C,677.76,0.2613,0.7574,-0.4961,0.0,31.4
2025-01-01 15:00:00,Panel_A,583.4,0.221,0.5632,-0.3422,0.0,35.0
2025-01-01 15:00:00,Panel_B,583.4,0.1992,0.5285,-0.3293,0.0,30.6
2025-01-01 15:00:00,Panel_C,583.4,0.2189,0.9743,-0.7554,0.0,20.3
2025-01-01 16:00:00,Panel_A,338.83,0.1223,0.9516,-0.8293,0.0,23.1
2025-01-01 16:00:00,Panel_B,338.83,0.114,1.1557,-1.0417,0.0,22.5
2025-01-01 16:00:00,Panel_C,338.83,0.1365,0.7387,-0.6022,0.0,22.0
2025-01-01 17:00:00,Panel_A,329.03,0.1123,1.0721,-0.9598,0.0,30.0
2025-01-01 17:00:00,Panel_B,329.03,0.1071,0.5652,-0.458,0.0,36.1
2025-01-01 17:00:00,Panel_C,329.03,0.126,1.1303,-1.0043,0.0,31.4
2025-01-01 18:00:00,Panel_A,122.21,0.0374,3.0889,-3.0515,0.0,36.1
2025-01-01 18:00:00,Panel_B,122.21,0.044,2.963,-2.919,0.0,21.5
2025-01-01 18:00:00,Panel_C,122.21,0.0482,2.2424,-2.1943,0.0,36.2
2025-01-01 19:00:00,Panel_A,0.0,0.0015,2.0076,-2.0061,0.0,22.9
2025-01-01 19:00:00,Panel_B,0.0,0.0,2.8231,-2.8231,0.0,32.5
2025-01-01 19:00:00,Panel_C,0.0,0.0,3.0683,-3.0683,0.0,24.3
2025-01-01 20:00:00,Panel_A,0.0,0.0033,2.4881,-2.4848,0.0,33.4
2025-01-01 20:00:00,Panel_B,0.0,0.0048,2.9864,-2.9816,0.0,30.2
2025-01-01 20:00:00,Panel_C,0.0,0.0021,2.1405,-2.1384,0.0,26.6
2025-01-01 21:00:00,Panel_A,0.0,0.0,3.4595,-3.4595,0.0,27.1
2025-01-01 21:00:00,Panel_B,0.0,0.0,3.3381,-3.3381,0.0,31.4
2025-01-01 21:00:00,Panel_C,0.0,0.0001,2.8654,-2.8653,0.0,28.9
2025-01-01 22:00:00,Panel_A,0.0,0.0073,2.2929,-2.2856,0.0,33.0
2025-01-01 22:00:00,Panel_B,0.0,0.0,3.4107,-3.4107,0.0,37.2
2025-01-01 22:00:00,Panel_C,0.0,0.0024,3.3723,-3.3699,0.0,26.7
2025-01-01 23:00:00,Panel_A,0.0,0.0024,1.1745,-1.1722,0.0,35.4
2025-01-01 23:00:00,Panel_B,0.0,0.0,0.7061,-0.7061,0.0,26.9
2025-01-01 23:00:00,Panel_C,0.0,0.0,0.6186,-0.6186,0.0,30.0
2025-01-02 00:00:00,Panel_A,0.0,0.0043,0.2872,-0.2829,0.0,32.5
2025-01-02 00:00:00,Panel_B,0.0,0.0,0.223,-0.223,0.0,37.8
2025-01-02 00:00:00,Panel_C,0.0,0.0008,0.128,-0.1272,0.0,29.3
2025-01-02 01:00:00,Panel_A,0.0,0.0018,0.2394,-0.2376,0.0,32.6
2025-01-02 01:00:00,Panel_B,0.0,0.0028,0.1719,-0.1691,0.0,25.3
2025-01-02 01:00:00,Panel_C,0.0,0.0026,0.2734,-0.2708,0.0,36.4
2025-01-02 02:00:00,Panel_A,0.0,0.0026,0.2023,-0.1997,0.0,29.0
2025-01-02 02:00:00,Panel_B,0.0,0.0029,0.2404,-0.2375,0.0,34.3
